名称,地理位置1,地理位置2,地理位置3,房型,面积,均价,总价
中海云筑,大兴,大兴新机场,京开高速庞各庄桥西1500米，团结路北（庞各庄镇宏轩饺子馆儿对面）,3室,266,37000,984.2000
远洋五里春秋,石景山,石景山其它,五里坨黑石头路前行500m,3室,290,52024,1508.6960
首创·河著,顺义,顺义其它,京承高速11出口（昌金路）向东900 米路北,4室,248,41000,1016.8000
华萃西山,门头沟,门头沟其它,永定镇地铁S1号线石厂西南700米,4室,83,47000,390.1000
住总正华·时代广场,大兴,天宫院,地铁4号线生物医药基地站南200米,0室,61,55000,335.5000
京西悦府,房山,阎村,北京市房山区燕房线阎村地铁站东南角约189米,3室,175,50000,875.0000
中粮天恒天悦壹号,丰台,西红门,南四环地铁新宫站南500米,4室,220,85000,1870.0000
中海云熙,大兴,大兴其它,魏善庄新城南中轴路东侧500米,2室,76,37700,286.5200
海晏春秋,大兴,瀛海,灜安街与经二路交汇处西北角,4室,370,52449,1940.6130
京投发展·锦悦府,密云,鼓楼街道,檀营乡檀东路西侧,3室,79,25607,202.2953
京投发展·锦悦府,密云,鼓楼街道,檀营乡檀东路西侧,3室,187,25607,478.8509
远洋五里春秋,石景山,石景山其它,五里坨黑石头路前行500m,4室,330,52024,1716.7920
林肯时代,亦庄开发区,亦庄,荣华路与荣京西街交叉口西侧300米（荣京东街站西侧600米）,3室,103,42000,432.6000
公园十七区,顺义,后沙峪,顺义区后沙峪火沙路和裕庆路交汇口北500米,4室,90,55000,495.0000
金地·大湖风华,房山,房山其它,北京市房山区青龙湖水上乐园东南角,1室,67,33000,221.1000
龙湖熙湖悦著,房山,房山其它,大苑村收费站出口（良坨路桥）左行200米,2室,73,37000,270.1000
北京华发中央公园,房山,良乡,北京市房山区良乡大学城站南900米,3室,85,41000,348.5000
建邦·顺颐府,顺义,后沙峪,空港B区裕民大街30号千里马国际一层建邦·顺颐府售楼中心,3室,89,55583,494.6887
葛洲坝中国府,丰台,玉泉营,丰台东路46号,2室,168,112000,1881.6000
华萃西山,门头沟,门头沟其它,门头沟永定镇地铁S1号线石厂站西南700米,4室,135,52000,702.0000
北京东湾,通州,万达,通惠北路98号,1室,58,69600,403.6800
天恒世界集,大兴,高米店,盛坊路1号院,0室,60,55000,330.0000
富兴首府,朝阳,东坝,东坝路9号东北60米,4室,144,85000,1224.0000
中铁诺德阅墅,顺义,中央别墅区,顺义区后沙峪优山美地D区西北侧,4室,220,62000,1364.0000
金地·大湖风华,房山,房山其它,青龙湖镇良坨路金地大湖风华,4室,139,33000,458.7000
懋源·璟岳,丰台,玉泉营,南三环西路99号院,4室,465,140000,6510.0000
城市之光·东望,通州,通州其它,北京市通州区嘉秀东路,3室,70,54163,379.1410
合景泰富天汇,顺义,马坡,昌金路与通顺路交汇处,3室,89,33000,293.7000
水岸雁栖,怀柔,怀柔,雁栖镇京加路雁栖桥西北500米处,0室,55,36000,198.0000
懋源·璟玺,朝阳,中央别墅区,孙河京密路与京平辅路交叉口西行1000米,4室,555,86000,4773.0000
万科雲庐,丰台,丰台其它,魏各庄路万科雲庐,4室,135,39000,526.5000
万科雲庐,丰台,丰台其它,魏各庄路万科雲庐,4室,200,39000,780.0000
北京城建宽院国誉府,大兴,大兴新机场洋房别墅区,南北大街与育镇街交叉口西南200米,4室,130,31000,403.0000
北京城建宽院国誉府,大兴,大兴新机场洋房别墅区,南北大街与育镇街交叉口西南200米,4室,152,31000,471.2000
金茂北京国际社区,顺义,顺义其它,顺义新城北小营昌金路水色时光路西,1室,50,32000,160.0000
住总如院,大兴,大兴新机场洋房别墅区,北京市大兴区采华路(波尔多小镇南区西南侧约250米),2室,98,31000,303.8000
住总如院,大兴,大兴新机场洋房别墅区,北京市大兴区采华路(波尔多小镇南区西南侧约250米),3室,240,22728,545.4720
泰晤士印象二期,通州,通州其它,西集镇京哈高速郎府出口南侧300米,2室,89,28000,249.2000
建邦·顺颐府,顺义,后沙峪,空港B区裕民大街30号,3室,270,55583,1500.7410
和悦春风,大兴,大兴新机场,庞各庄镇瓜乡路与永兴河交汇处,2室,76,37000,281.2000
阳光城溪山悦,密云,密云其它,密溪路33号,3室,139,25000,347.5000
北京城建·府前龙樾,怀柔,怀柔,北京市怀柔区府前东街,3室,106,43550,461.6300
招商·臻珑府,亦庄开发区,通州其它,亦庄经济技术开发区经海七路与科创十街交汇处,4室,57,51000,290.7000
长安九里,石景山,石景山其它,古城南街东侧,3室,86,52000,447.2000
金禧璞瑅,顺义,顺义其它,高泗路四村段23号,4室,140,47000,658.0000
金禧璞瑅,顺义,顺义其它,高泗路四村段23号,5室,360,36000,1296.0000
熙悦天寰,丰台,丰台其它,鑫博西路与大灰厂东路交口西行20米,4室,89,58000,516.2000
中骏云景台,房山,房山其它,官道西大街与良常路交叉口,2室,75,28000,210.0000
禧瑞金海,平谷,平谷其它,平蓟路与环镇东路交汇,2室,87,22000,191.4000
禧瑞金海,平谷,平谷其它,平蓟路与环镇东路交汇,2室,125,22000,275.0000
中国铁建澜廷墅,房山,房山其它,阎吕路中国铁建·山语澜廷,4室,223,28000,624.4000
电建·洺悦湾,大兴,旧宫,旧宫北路旧宫地铁站东侧300米,3室,75,54715,410.3625
中建国望府,丰台,丰台其它,射击场路中建国望府,5室,314,77548,2435.0000
北科建·翡翠华府,怀柔,怀柔,中高路与乐园大街交叉口北150米,1室,37,36800,136.1600
保利绿城·和锦诚园,大兴,瀛海,8号线南段地铁站东1.6公里,4室,130,63000,819.0000
金悦郡,通州,通州其它,亦庄新城环景西一路与景盛南二街交叉口珠江逸景家园南区西侧,2室,72,39000,280.8000
北京庄园,顺义,顺义其它,京承高速第11出口往东800米,4室,460,167000,7682.0000
路劲·御合院,大兴,大兴新机场洋房别墅区,采育镇彩凤路与育进街交叉口,3室,89,29000,258.1000
熙红印,大兴,西红门,北京市大兴区西红门宏政街西侧,2室,65,64400,418.6000
明月听蘭,通州,通州其它,北京市通州台湖镇次渠北里一区125号楼明月听蘭生活美学馆,3室,96,58000,556.8000
鑫苑·盛世天玺,通州,九棵树(家乐福),北京市通州区云景南大街61号（高德地图导航盛世天玺营销中心）,3室,89,63000,560.7000
中海甲叁號院,丰台,玉泉营,丰台恒丰路,3室,145,109000,1580.5000
熙悦宸著,大兴,西红门,福欣路与京开路交叉口东南侧,4室,89,64400,573.1600
亦庄橡树湾,通州,马驹桥,马驹桥镇亦庄新城漷马路与兴华南街交汇处东300米,1室,66,45000,297.0000
海淀幸福里,海淀,海淀北部新区,北京市海淀区北清路与友谊路交叉口西北角,4室,98,82000,803.6000
北京壹号总部,大兴,亦庄,台湖镇光机电一体化产业基地科创东二街5号,1室,3127,28000,8755.6000
住总兴创如遇,大兴,大兴新机场洋房别墅区,采华路与育镇街交叉路口往西北约100米(采育文化广场西南侧约100米),1室,53,27000,143.1000
中海寰宇视界,房山,长阳,北京市房山区轨道交通房山线稻田地铁站南侧200米处,1室,53,58000,307.4000
国祥府,密云,鼓楼街道,檀西路与新北路交汇处向北约400米,2室,75,26000,195.0000
首开熙悦观湖,房山,房山其它,青龙湖镇中心区,4室,131,36000,471.6000
天樾书院,昌平,昌平其它,北京市昌平区北七家镇定泗路99号,4室,270,40000,1080.0000
东叁金茂府,丰台,十里河,东三环分钟寺桥南约500米,4室,125,107500,1343.7500
中海首开拾光里,朝阳,中央别墅区,朝阳区金盏南路，金港国际赛车场东侧,3室,140,70000,980.0000
长海御墅,房山,房山其它,长沟国家湿地公园南侧,1室,70,15000,105.0000
国风金海,平谷,平谷其它,平蓟路与环镇东路交汇,1室,53,22000,116.6000
华樾国际领尚,朝阳,朝阳其它,朝阳区东风乡楼梓庄桥西300米路南,2室,75,71000,532.5000
世茂北京天誉,丰台,十里河,北京市丰台区小红门路312号,3室,145,120000,1740.0000
鸿瑞西峰·溪悦府,门头沟,门头沟其它,G108鸿瑞西峰·溪悦府,4室,347,55000,1908.5000
中建·京西印玥,房山,良乡,阳光北大街中建·京西印玥,2室,73,43000,313.9000
长城璞院,怀柔,怀柔其它,距离怀柔区黄花城水长城东侧1.5公里,5室,200,20000,400.0000
迈宇平墅,顺义,顺义城,顺平路迈宇平墅,4室,217,34000,737.8000
玖瀛府,昌平,南邵,南金路7号院,4室,181,48000,868.8000
国誉万和城,丰台,青塔,西四环14号线大瓦窑站北300m,4室,140,82000,1148.0000
中国铁建·梧桐浅山,平谷,平谷其它,北京市平谷区东南路夏各庄卫生院对面,2室,90,15000,135.0000
路劲御和府,顺义,顺义其它,仁和园三街路劲御和府,1室,68,42000,285.6000
葛洲坝中国府,丰台,玉泉营,丰台东路46号,4室,390,115000,4485.0000
路劲·御合院,大兴,大兴新机场洋房别墅区,彩凤路路劲·御合院,3室,183,26500,484.9500
中海京叁號院,大兴,大兴其它,博兴八路与兴海路交叉口,3室,168,70000,1176.0000
首创 天阅山河,丰台,青塔,大瓦窑北路天阅山河售楼处,3室,109,80000,872.0000
龙湖云河砚,顺义,顺义其它,北京市顺义区,3室,90,38500,346.5000
龙湖云河砚,顺义,顺义其它,外环路龙湖云河砚,4室,150,38500,577.5000
公园都会,顺义,顺义其它,北京顺义区顺泰路与外环路交汇处,2室,72,39000,280.8000
北京风景,昌平,东关,"京藏高速30出口（昌平城区）向东，南环大桥东1000米, 双营西路67号院",0室,95,43000,408.5000
艾迪公园,顺义,顺义其它,双河大街与顺西南路西北角,1室,115,26000,299.0000
合生me悦,大兴,瀛海,旧忠路合生me悦,1室,58,63500,368.3000
西山相府,门头沟,城子,城子大街13号,3室,125,58000,725.0000
金地璟宸,房山,良乡,北京市房山区政通路29号,3室,97,41000,397.7000
长安悦玺,石景山,鲁谷,衙门口南路长安悦玺,3室,97,80000,776.0000
天资陸号院,房山,长阳,昊天北大街天资陸号院,1室,52,39000,202.8000
朝阳一墅,朝阳,中央别墅区,金港南路朝阳一墅,3室,123,65000,799.5000
春和景明,通州,潞苑,潞苑中路和京榆旧线交汇处东南春和景明,3室,155,69600,1078.8000
中建·长安麓府,门头沟,冯村,泰安路中建·长安麓府,2室,70,58000,406.0000
保利锦上,朝阳,垡头,化工路保利锦上,3室,114,71000,809.4000
